f,4296,548,1051,London,Fuerteventura,Ireland,Spain,UnitedKingdom,E,E,3,3,3,3,f,f,f,1,t,f,f,f,f,5,3,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,4691,2756,2709,Villavicencio,Bogota,Colombia,Colombia,Colombia,U,U,2,2,2,2,f,f,f,1,f,f,f,f,f,2,2,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,4296,537,1352,Prestwick,Carcassonne,Ireland,France,UnitedKingdom,E,E,3,3,3,3,f,f,f,1,t,f,f,f,f,5,4,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
t,5282,4029,2947,Moscow,Odessa,Ukraine,Ukraine,Russia,E,N,4,4,4,4,f,f,f,3,f,f,f,f,f,5,4,f,t,t,t,f,f,f,f,f,f,f,t,f,f,f
f,3029,3448,3878,Boston,Orlando,UnitedStates,UnitedStates,UnitedStates,A,A,2,2,2,2,f,f,f,2,f,t,f,f,f,4,3,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,3026,521,669,Newcastle,Krakow,UnitedKingdom,Poland,UnitedKingdom,E,E,3,3,3,3,f,f,f,1,f,f,f,f,f,5,5,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f
f,3163,2378,2372,Seoul,Busan,RepublicofKorea,SouthKorea,SouthKorea,U,U,5,5,5,5,f,f,f,2,f,f,f,f,f,3,3,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t
f,28,3372,3930,Guilin,Seoul,RepublicofKorea,SouthKorea,China,U,U,5,5,5,5,f,f,f,2,f,f,f,f,f,3,3,f,t,t,f,f,f,f,t,f,f,f,t,f,f,f
f,130,2934,2927,Vladivostok,Khabarovsk,Russia,Russia,Russia,N,N,5,5,5,5,f,f,f,3,f,f,f,f,f,4,4,f,t,t,t,f,f,f,f,f,f,f,t,f,f,f
t,4951,1694,4317,Sivas,Istanbul,Turkey,Turkey,Turkey,E,E,4,4,3,4,f,f,f,2,t,f,f,f,f,4,4,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,2439,1218,1264,Barcelona,Bordeaux,Taiwan,France,Spain,E,E,3,3,3,3,f,f,f,2,f,t,f,f,f,4,4,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,2993,5691,2176,Asyut,Kuwait,Kuwait,Kuwait,Egypt,U,U,4,4,4,4,f,f,f,2,f,t,f,f,f,3,3,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
t,1758,6341,6365,Beijing,Qingyang,China,China,China,U,U,5,5,5,5,f,f,f,3,f,f,f,f,f,4,3,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,5265,3462,3454,Phoenix,Omaha,UnitedStates,UnitedStates,UnitedStates,A,N,1,1,1,1,f,f,f,2,f,f,f,f,f,3,4,f,f,t,t,f,f,f,f,f,f,f,t,f,f,f
f,2520,3916,3914,Kupang,Ende,Indonesia,Indonesia,Indonesia,N,N,5,5,5,5,f,f,f,2,f,f,f,f,f,1,1,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,4296,478,1246,Manchester,Valencia,Ireland,Spain,UnitedKingdom,E,E,3,3,3,3,f,f,f,1,t,f,f,f,f,5,4,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,16149,2877,2899,Dominica,Philipsburg,NetherlandsAntilles,NetherlandsAntilles,Dominica,U,U,2,2,2,2,f,f,f,3,f,f,f,f,f,2,2,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,4897,521,7447,Newcastle,Enfidha,UnitedKingdom,Tunisia,UnitedKingdom,U,E,3,3,3,3,f,f,f,3,f,f,f,f,f,5,3,f,t,t,f,f,f,f,t,f,f,f,t,f,f,f
f,4608,6400,6366,Mianyang,Xining,China,China,China,U,U,5,5,4,4,f,f,f,2,f,t,f,f,f,3,3,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,4547,3682,3484,Atlanta,LosAngeles,UnitedStates,UnitedStates,UnitedStates,A,A,2,1,1,2,f,f,f,2,f,f,f,f,f,3,3,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,15999,3406,4144,Shanghai,Shenyang,China,China,China,U,U,5,5,5,5,f,f,f,2,f,t,f,f,f,3,4,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,3661,1688,1609,Antalya,Graz,Austria,Austria,Turkey,E,E,4,3,3,4,f,f,f,1,f,f,f,f,f,3,4,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f
f,24,3748,3462,SanJose,Phoenix,UnitedStates,UnitedStates,UnitedStates,N,A,1,1,1,1,f,f,f,2,f,t,f,f,f,3,3,f,t,t,t,f,f,f,f,f,f,f,t,f,f,f
f,2548,1273,342,Toulouse,Hamburg,Germany,Germany,France,E,E,3,3,3,3,t,f,f,1,f,f,f,f,f,4,5,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,5368,8961,2180,SirBaniYasIsland,AbuDhabi,Brazil,UnitedArabEmirates,UnitedArabEmirates,U,U,4,4,4,4,f,f,t,3,f,f,f,f,f,3,3,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,13983,2578,7380,Campinas,Dourados,Brazil,Brazil,Brazil,S,S,2,2,2,2,f,f,f,1,f,f,f,f,f,1,1,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,1868,352,3998,Hannover,PalmadeMallorca,Germany,Spain,Germany,E,E,3,3,3,3,f,f,f,2,f,f,f,f,f,5,4,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f
t,3320,3494,1555,Newark,Rome,Germany,Italy,UnitedStates,E,A,2,3,3,2,f,f,f,1,f,f,f,f,f,4,4,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f
f,439,6803,3610,Yakutat,Cordova,ALASKA,UnitedStates,UnitedStates,A,A,1,1,1,1,f,f,f,2,f,f,f,f,f,5,5,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,5209,2688,3550,Quito,Houston,UnitedStates,UnitedStates,Ecuador,A,U,2,1,1,2,f,f,f,2,t,f,f,f,f,1,3,f,t,t,f,f,f,f,f,f,f,t,t,f,f,f
f,3329,1606,629,Malta,Luxemburg,Luxembourg,Luxembourg,Malta,E,E,3,3,3,3,f,f,f,1,f,f,f,t,f,3,4,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,2009,3830,3488,Chicago,Cincinnati,UnitedStates,UnitedStates,UnitedStates,A,A,1,2,2,2,f,f,t,3,f,f,f,f,f,4,4,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,2354,49,196,Edmonton,Yellowknife,Canada,Canada,Canada,A,A,1,1,1,1,f,f,f,2,f,f,f,f,f,5,5,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
f,3737,665,1230,Trondheim,Malaga,Norway,Spain,Norway,E,E,3,3,3,3,f,f,f,3,f,f,f,f,f,5,3,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t
f,1758,3387,3375,Ninbo,Zhengzhou,China,China,China,U,U,5,5,5,5,f,f,f,3,f,t,f,f,f,3,3,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,4897,7447,502,Enfidha,London,UnitedKingdom,UnitedKingdom,Tunisia,E,U,3,3,3,3,f,f,f,3,f,f,f,f,f,3,5,f,t,t,f,f,f,f,f,f,f,f,t,f,f,f
f,137,2893,2878,Castries,Fort-de-france,France,Martinique,SaintLucia,U,U,2,2,2,2,f,f,f,2,f,f,f,f,f,2,2,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f
t,214,3953,346,Riga,Munich,Germany,Germany,Latvia,E,E,4,3,3,3,f,f,f,2,f,f,f,f,f,5,4,f,f,t,f,f,f,f,f,f,t,f,t,f,f,f
