191083,89980,0,3,5,4,2,0,1,219,3,45,1,5,3,3,5,2012,11,44,9,5,219,23753,2,3,2,1,1,1,0
523335,86026,0,3,3,3,2,0,2,219,3,45,1,5,3,4,5,2013,4,14,8,5,219,6443,1,1,2,1,1,0,0
271108,50825,1,2,3,2,1,0,4,219,3,40,1,5,3,3,5,2012,11,45,8,5,219,17707,3,2,2,1,1,1,0
588011,79882,0,4,4,1,2,0,3,100,2,35,1,3,3,1,2,2013,6,25,6,14,100,1996,2,4,2,1,1,0,0
627288,35912,0,1,3,2,1,0,3,219,2,25,1,4,2,2,4,2013,2,7,4,14,100,15566,1,3,2,1,1,1,0
31013,42209,0,2,2,3,2,0,2,100,2,35,1,4,2,3,3,2012,12,49,8,14,100,19215,1,1,2,1,1,1,0
349001,37881,0,1,3,3,2,0,5,219,2,40,1,5,4,4,5,2012,11,46,10,5,219,7976,1,2,2,3,1,1,0
594517,3153,0,2,2,2,1,0,4,219,2,40,1,4,3,2,3,2012,12,52,8,5,219,24232,2,3,4,4,2,0,0
364320,77574,0,4,4,4,4,0,3,219,3,40,1,5,4,5,5,2013,5,20,8,5,219,13870,3,2,1,1,1,1,0
302489,36200,0,2,3,3,2,0,5,219,2,45,1,4,1,1,1,2013,3,11,10,5,219,25964,4,3,2,3,1,0,0
638099,60468,0,4,5,5,4,0,3,219,5,45,1,5,4,5,5,2013,4,17,12,5,219,8192,1,1,2,1,1,0,0
300524,6080,0,3,2,2,1,0,3,219,3,30,1,5,2,3,5,2013,2,9,5,5,219,8347,3,2,2,1,1,0,0
450190,60008,1,4,4,4,3,1,3,219,4,45,0,5,3,3,5,2013,1,3,11,14,100,13539,2,3,2,1,1,1,0
378579,70177,0,4,5,1,4,1,3,219,4,35,1,5,4,4,5,2013,6,25,12,5,219,8192,2,1,4,1,1,1,0
68211,80611,0,3,5,5,3,0,2,219,4,40,1,5,4,4,5,2013,4,15,8,5,219,5206,2,5,2,1,1,1,0
599552,73570,0,4,4,2,1,0,4,219,2,20,1,4,2,2,4,2012,12,52,8,5,219,5606,1,1,1,1,1,1,0
162627,6080,0,3,2,2,1,0,5,219,3,30,1,5,2,3,5,2013,3,11,10,18,129,8347,4,5,2,1,1,0,1
28383,1842,1,5,4,5,3,0,1,219,3,45,1,3,3,1,2,2013,2,8,8,5,219,12410,1,3,2,1,1,1,1
217535,48375,1,3,4,4,1,1,2,219,4,35,0,5,4,4,5,2013,2,8,6,5,219,26067,3,1,1,1,1,0,0
636700,81977,1,2,2,3,1,0,1,219,4,40,0,5,2,2,3,2013,4,14,8,5,219,7100,2,3,1,3,1,1,1
592818,80579,0,4,4,4,3,0,1,219,4,45,1,5,4,4,5,2013,5,19,8,32,220,13870,4,5,2,1,1,0,0
460625,100105,1,3,2,2,1,0,3,219,2,35,1,5,3,4,5,2013,4,14,5,5,219,10999,2,1,2,3,1,0,0
424712,48757,0,1,2,2,1,0,5,219,2,30,1,4,3,3,3,2013,2,5,8,32,220,13870,5,5,2,3,1,0,1
662062,70624,0,4,3,3,2,1,4,219,3,40,1,5,3,2,3,2012,11,45,8,5,219,13870,2,3,2,3,1,0,0
435386,71928,0,4,1,4,3,0,5,100,3,40,1,5,4,4,5,2013,3,11,7,5,219,18214,3,4,1,1,1,1,0
470831,109462,0,3,3,2,1,0,4,219,2,40,1,5,3,4,4,2013,3,13,5,5,219,12812,3,3,1,1,1,1,0
359466,46045,0,5,5,4,3,1,1,219,3,45,1,5,4,5,4,2013,1,1,9,12,99,9412,2,4,2,2,1,1,0
392694,112085,0,2,4,3,1,1,1,55,4,40,1,5,3,3,5,2013,3,9,10,15,55,10010,1,4,1,1,1,0,0
191954,104470,0,5,4,4,3,0,1,132,4,45,0,5,4,4,5,2013,4,14,5,15,55,1815,4,5,4,1,2,0,0
96175,136159,1,2,3,4,1,1,2,219,3,35,0,5,4,5,5,2012,12,50,7,5,219,3073,4,2,2,1,1,1,0
641682,83045,0,3,3,5,4,0,1,219,3,35,0,5,4,4,5,2013,1,2,8,15,55,2412,5,5,2,2,1,0,0
601014,120238,0,2,3,5,4,0,2,219,4,40,1,5,3,3,5,2013,3,9,12,5,219,7384,1,2,1,1,1,0,0
